Field Leader Initials,Year,Date,Loc.,Sex,Age,Pup?,New Mark 1?,Mark 1,Mark 1 Position ,New Mark 2?,Mark 2,Mark 2 Position,New Tag1?,Tag1 #,Tag 1 Pos. ,New Tag2?,Tag2 #,Tag 2 Pos. ,Molt (%),Season,St. Length,Crv. Length,Ax. Girth,Mass,Tare,Mass-Tare,Last seen as P,1st seen as W,Range (days),Comments,Entered in Ano 
"CC, MV",2018,11/13/2017,DCC,M,A,,N,,,,,,N,W16_ ,L-ol-,,,,,,,,,,,,,,,Unknown digit a 3 or 4,
CC,2018,12/30/2017,DCC,M,SA2,,Y,WP772 ,R,,,,N,WP772,L-ol-,,,,,,,,,,,,,,,,
CC,2018,12/30/2017,DCC,M,5,,Y,1X,,,,,,,,,,,,,,,,,,,,,,,
CC,2018,12/30/2017,DCC,,5,,Y,2X,,,,,,,,,,,,,,,,,,,,,,,
CC,2018,12/31/2017,DCC,,7,,Y,3X,,,,,,,,,,,,,,,,,,,,,,,
CC,2018,12/31/2017,DCC,,7,,Y,4X,,,,,,,,,,,,,,,,,,,,,,,
CC,2018,1/2/2018,DCC,M,SA2,,N,,,,,,N,WP772,L-ou-,,,,,,,,,,,,,,,,
CC,2018,1/2/2018,DCL,,10,,Y,6X,,,,,,,,,,,,,,,,,,,,,,,
CC,2018,1/2/2018,DCC,,5,,Y,7X,,,,,,,,,,,,,,,,,,,,,,,
CC,2018,1/4/2018,DCL,M,A,,Y,PBX1,B,,,,,,,,,,,,,,,,,,,,,,
CC,2018,1/4/2018,DCL,,10,,Y,8X,,,,,,,,,,,,,,,,,,,,,,,
CC,2018,1/4/2018,DCL,,14,,Y,9X,,,,,,,,,,,,,,,,,,,,,,,
CC,2018,1/4/2018,DCL,,6,,Y,10X,,,,,,,,,,,,,,,,,,,,,,Only part of the one went on ,
CC,2018,1/4/2018,DCC,,10,,Y,11X,,,,,,,,,,,,,,,,,,,,,,Looks like 17X ,
CC,2018,1/4/2018,DCC,,5,,Y,12X,,,,,,,,,,,,,,,,,,,,,,,
CC,2018,1/4/2018,DCC,,7,,Y,13X,,,,,,,,,,,,,,,,,,,,,,Looks like 15X,
CC,2018,1/4/2018,DCC,,10,,Y,14X,,,,,,,,,,,,,,,,,,,,,,,
CC,2018,1/4/2018,DCC,,3,,Y,15X,,,,,,,,,,,,,,,,,,,,,,,
